QueryId,DocumentId
0,22166
0,563856
0,563853
0,96002
0,87961
1,543557
1,443015
1,100097
1,161373
1,28847
3,56391
3,79309
3,431178
3,16361
3,567466
4,236742
4,518551
4,64458
4,393389
4,110081
5,332608
5,506548
5,569107
5,52352
5,268743
6,121253
6,72955
6,182102
6,178951
6,554421
7,372400
7,23427
7,393445
7,408729
7,130644
8,93388
8,14845
8,100626
8,86338
8,63338
9,375777
9,306930
9,495451
9,552552
9,527559
10,561400
10,419861
10,414273
10,572699
10,293273
11,263185
11,31606
11,335503
11,242907
11,334552
12,207407
12,280322
12,19301
12,335039
12,19738
13,88830
13,157846
13,118469
13,106405
13,505332
17,555932
17,121890
17,163289
17,474151
17,404565
18,382097
18,475960
18,461345
18,567589
18,17993
19,558282
19,13730
19,30028
19,30023
19,476602
20,376240
20,39306
20,359250
20,469023
20,301516
21,495282
21,388104
21,327612
21,470767
21,84150
22,146257
22,73147
22,176985
22,199942
22,416023
23,366225
23,28424
23,28425
23,374284
23,374280
24,326599
24,409668
24,399979
24,278234
24,278327
27,44434
27,264618
27,52509
27,63346
27,401457
29,553022
29,242853
29,377189
29,542364
29,16369
31,287744
31,332471
31,141916
31,286928
31,349750
35,63008
35,66947
35,45244
35,334958
35,199146
39,531934
39,254481
39,251501
39,477841
39,26997
40,297527
40,11531
40,164011
40,458065
40,396860
45,451156
45,262654
45,451170
45,477338
45,350560
46,580569
46,463280
46,383041
46,404745
46,461254
48,287426
48,445682
48,58441
48,261939
48,10625
49,49423
49,41624
49,430802
49,8182
49,270666
51,481564
51,123667
51,200482
51,300875
51,56366
53,100931
53,229606
53,178686
53,508228
53,454711
54,198321
54,242788
54,470112
54,176781
54,151074
56,100489
56,100492
56,177129
56,301181
56,100490
58,172935
58,479200
58,127185
58,1669
58,556970
59,64274
59,411199
59,416029
59,335535
59,20045
60,8591
60,99522
60,105471
60,73651
60,112978
62,569203
62,563621
62,569204
62,569205
62,565952
64,287544
64,83407
64,85615
64,83405
64,84865
65,176505
65,44869
65,454157
65,116331
65,70236
68,498855
68,377373
68,104476
68,406801
68,136104
69,77281
69,295461
69,465426
69,397993
69,53401
71,275955
71,415865
71,344177
71,417914
